CountyFIPS,County,Year,Value
17001,Adams,2023,8.1%
17003,Alexander,2023,12.1%
17005,Bond,2023,8.0%
17007,Boone,2023,7.4%
17009,Brown,2023,8.0%
17011,Bureau,2023,8.9%
17013,Calhoun,2023,7.8%
17015,Carroll,2023,9.0%
17017,Cass,2023,8.6%
17019,Champaign,2023,5.6%
17021,Christian,2023,8.6%
17023,Clark,2023,8.3%
17025,Clay,2023,10.3%
17027,Clinton,2023,7.4%
17029,Coles,2023,8.2%
17031,Cook,2023,5.7%
17033,Crawford,2023,8.4%
17035,Cumberland,2023,8.1%
17039,De Witt,2023,8.4%
17037,DeKalb,2023,6.3%
17041,Douglas,2023,8.0%
17043,DuPage,2023,5.0%
17045,Edgar,2023,9.8%
17047,Edwards,2023,10.3%
17049,Effingham,2023,7.7%
17051,Fayette,2023,9.2%
17053,Ford,2023,8.7%
17055,Franklin,2023,10.2%
17057,Fulton,2023,9.2%
17059,Gallatin,2023,10.9%
17061,Greene,2023,9.7%
17063,Grundy,2023,6.4%
17065,Hamilton,2023,10.1%
17067,Hancock,2023,9.0%
17069,Hardin,2023,10.5%
17071,Henderson,2023,9.6%
17073,Henry,2023,7.8%
17075,Iroquois,2023,9.7%
17077,Jackson,2023,7.7%
17079,Jasper,2023,8.1%
17081,Jefferson,2023,8.8%
17083,Jersey,2023,7.9%
17085,Jo Daviess,2023,8.6%
17087,Johnson,2023,8.9%
17089,Kane,2023,5.7%
17091,Kankakee,2023,7.9%
17093,Kendall,2023,4.7%
17095,Knox,2023,9.4%
17099,La Salle,2023,8.2%
17097,Lake,2023,5.4%
17101,Lawrence,2023,9.2%
17103,Lee,2023,8.4%
17105,Livingston,2023,8.4%
17107,Logan,2023,7.9%
17115,Macon,2023,8.5%
17117,Macoupin,2023,9.1%
17119,Madison,2023,7.2%
17121,Marion,2023,9.5%
17123,Marshall,2023,8.9%
17125,Mason,2023,9.4%
17127,Massac,2023,9.7%
17109,McDonough,2023,7.9%
17111,McHenry,2023,5.9%
17113,McLean,2023,5.6%
17129,Menard,2023,7.9%
17131,Mercer,2023,8.6%
17133,Monroe,2023,6.2%
17135,Montgomery,2023,8.9%
17137,Morgan,2023,8.8%
17139,Moultrie,2023,8.6%
17141,Ogle,2023,7.8%
17143,Peoria,2023,7.5%
17145,Perry,2023,9.5%
17147,Piatt,2023,6.9%
17149,Pike,2023,9.7%
17151,Pope,2023,9.9%
17153,Pulaski,2023,11.6%
17155,Putnam,2023,7.8%
17157,Randolph,2023,8.9%
17159,Richland,2023,8.9%
17161,Rock Island,2023,8.1%
17165,Saline,2023,9.7%
17167,Sangamon,2023,7.3%
17169,Schuyler,2023,9.8%
17171,Scott,2023,8.6%
17173,Shelby,2023,9.0%
17163,St. Clair,2023,7.2%
17175,Stark,2023,8.8%
17177,Stephenson,2023,9.1%
17179,Tazewell,2023,7.3%
17181,Union,2023,10.1%
17183,Vermilion,2023,9.7%
17185,Wabash,2023,9.4%
17187,Warren,2023,8.2%
17189,Washington,2023,7.8%
17191,Wayne,2023,10.0%
17193,White,2023,11.0%
17195,Whiteside,2023,8.3%
17197,Will,2023,5.6%
17199,Williamson,2023,8.2%
17201,Winnebago,2023,8.3%
17203,Woodford,2023,6.8%
