County,Defining Parameter,AQI
Adams,Ozone,38.31924882629108
Champaign,Ozone,43.16339869281046
Champaign,PM2.5,51.891666666666666
Clark,Ozone,37.72284644194757
Cook,CO,3.0
Cook,NO2,44.21739130434783
Cook,Ozone,62.68041237113402
Cook,PM10,61.125
Cook,PM2.5,60.42068965517242
DuPage,Ozone,45.53333333333333
DuPage,PM2.5,50.267857142857146
Effingham,Ozone,35.78199052132702
Hamilton,Ozone,44.28346456692913
Hamilton,PM2.5,44.61971830985915
Jersey,Ozone,47.97546012269939
Jersey,PM2.5,40.20388349514563
Jo Daviess,Ozone,36.62719298245614
Kane,Ozone,50.916030534351144
Kane,PM2.5,50.00704225352113
Lake,Ozone,43.825
Macon,Ozone,45.78688524590164
Macon,PM2.5,48.62251655629139
Macoupin,NO2,4.5396825396825395
Macoupin,Ozone,41.56459330143541
Madison,Ozone,49.715328467153284
Madison,PM10,120.0
Madison,PM2.5,50.08536585365854
McHenry,Ozone,49.79220779220779
McHenry,PM2.5,47.601694915254235
McLean,Ozone,46.595588235294116
McLean,PM2.5,48.27007299270073
Peoria,Ozone,45.6822429906542
Peoria,PM2.5,51.4601226993865
Randolph,Ozone,44.07627118644068
Randolph,PM2.5,46.84415584415584
Rock Island,Ozone,41.472727272727276
Rock Island,PM2.5,46.84049079754601
Saint Clair,NO2,32.333333333333336
Saint Clair,Ozone,39.683673469387756
Saint Clair,PM2.5,49.391752577319586
Sangamon,Ozone,42.87022900763359
Sangamon,PM2.5,45.38028169014085
Will,Ozone,45.19047619047619
Will,PM2.5,51.63690476190476
Winnebago,Ozone,43.08130081300813
Winnebago,PM2.5,48.94285714285714
