CountyFIPS,County,Year,Value
17001,Adams,2023,10.3%
17003,Alexander,2023,11.7%
17005,Bond,2023,10.5%
17007,Boone,2023,10.0%
17009,Brown,2023,10.0%
17011,Bureau,2023,10.2%
17013,Calhoun,2023,10.1%
17015,Carroll,2023,10.1%
17017,Cass,2023,10.2%
17019,Champaign,2023,10.1%
17021,Christian,2023,10.3%
17023,Clark,2023,10.3%
17025,Clay,2023,10.8%
17027,Clinton,2023,10.3%
17029,Coles,2023,10.8%
17031,Cook,2023,9.8%
17033,Crawford,2023,10.4%
17035,Cumberland,2023,10.3%
17039,De Witt,2023,10.4%
17037,DeKalb,2023,10.4%
17041,Douglas,2023,10.4%
17043,DuPage,2023,8.9%
17045,Edgar,2023,10.5%
17047,Edwards,2023,10.8%
17049,Effingham,2023,10.2%
17051,Fayette,2023,10.4%
17053,Ford,2023,10.6%
17055,Franklin,2023,10.9%
17057,Fulton,2023,10.5%
17059,Gallatin,2023,10.8%
17061,Greene,2023,10.7%
17063,Grundy,2023,10.1%
17065,Hamilton,2023,10.7%
17067,Hancock,2023,10.3%
17069,Hardin,2023,10.6%
17071,Henderson,2023,10.2%
17073,Henry,2023,10.2%
17075,Iroquois,2023,10.5%
17077,Jackson,2023,10.8%
17079,Jasper,2023,10.2%
17081,Jefferson,2023,10.6%
17083,Jersey,2023,10.3%
17085,Jo Daviess,2023,9.9%
17087,Johnson,2023,10.2%
17089,Kane,2023,9.3%
17091,Kankakee,2023,10.7%
17093,Kendall,2023,9.5%
17095,Knox,2023,10.6%
17099,La Salle,2023,10.3%
17097,Lake,2023,9.1%
17101,Lawrence,2023,10.5%
17103,Lee,2023,10.2%
17105,Livingston,2023,10.5%
17107,Logan,2023,10.4%
17115,Macon,2023,10.8%
17117,Macoupin,2023,10.6%
17119,Madison,2023,10.5%
17121,Marion,2023,10.8%
17123,Marshall,2023,10.4%
17125,Mason,2023,10.5%
17127,Massac,2023,10.9%
17109,McDonough,2023,10.6%
17111,McHenry,2023,9.6%
17113,McLean,2023,10.3%
17129,Menard,2023,10.4%
17131,Mercer,2023,10.3%
17133,Monroe,2023,9.9%
17135,Montgomery,2023,10.3%
17137,Morgan,2023,10.5%
17139,Moultrie,2023,10.7%
17141,Ogle,2023,10.1%
17143,Peoria,2023,10.6%
17145,Perry,2023,10.5%
17147,Piatt,2023,10.0%
17149,Pike,2023,10.6%
17151,Pope,2023,10.3%
17153,Pulaski,2023,11.6%
17155,Putnam,2023,9.9%
17157,Randolph,2023,10.4%
17159,Richland,2023,10.5%
17161,Rock Island,2023,10.5%
17165,Saline,2023,10.9%
17167,Sangamon,2023,10.5%
17169,Schuyler,2023,10.3%
17171,Scott,2023,10.4%
17173,Shelby,2023,10.4%
17163,St. Clair,2023,11.1%
17175,Stark,2023,10.3%
17177,Stephenson,2023,10.6%
17179,Tazewell,2023,10.3%
17181,Union,2023,10.7%
17183,Vermilion,2023,10.9%
17185,Wabash,2023,10.6%
17187,Warren,2023,10.4%
17189,Washington,2023,10.2%
17191,Wayne,2023,10.7%
17193,White,2023,10.9%
17195,Whiteside,2023,10.2%
17197,Will,2023,9.7%
17199,Williamson,2023,10.5%
17201,Winnebago,2023,10.6%
17203,Woodford,2023,10.1%
