CountyFIPS,County,Cancer Type,Incidence
17001,Adams,lung-bronch_cancer,71.0
17003,Alexander,lung-bronch_cancer,13.0
17005,Bond,lung-bronch_cancer,14.0
17007,Boone,lung-bronch_cancer,44.0
17009,Brown,lung-bronch_cancer,6.0
17011,Bureau,lung-bronch_cancer,42.0
17013,Calhoun,lung-bronch_cancer,4.0
17015,Carroll,lung-bronch_cancer,14.0
17017,Cass,lung-bronch_cancer,16.0
17019,Champaign,lung-bronch_cancer,110.0
17021,Christian,lung-bronch_cancer,47.0
17023,Clark,lung-bronch_cancer,16.0
17025,Clay,lung-bronch_cancer,18.0
17027,Clinton,lung-bronch_cancer,33.0
17029,Coles,lung-bronch_cancer,49.0
17031,Cook,lung-bronch_cancer,
17033,Crawford,lung-bronch_cancer,22.0
17035,Cumberland,lung-bronch_cancer,10.0
17037,DeKalb,lung-bronch_cancer,68.0
17039,De Witt,lung-bronch_cancer,18.0
17041,Douglas,lung-bronch_cancer,18.0
17043,DuPage,lung-bronch_cancer,537.0
17045,Edgar,lung-bronch_cancer,18.0
17047,Edwards,lung-bronch_cancer,8.0
17049,Effingham,lung-bronch_cancer,29.0
17051,Fayette,lung-bronch_cancer,23.0
17053,Ford,lung-bronch_cancer,13.0
17055,Franklin,lung-bronch_cancer,51.0
17057,Fulton,lung-bronch_cancer,42.0
17059,Gallatin,lung-bronch_cancer,8.0
17061,Greene,lung-bronch_cancer,17.0
17063,Grundy,lung-bronch_cancer,39.0
17065,Hamilton,lung-bronch_cancer,7.0
17067,Hancock,lung-bronch_cancer,20.0
17069,Hardin,lung-bronch_cancer,7.0
17071,Henderson,lung-bronch_cancer,10.0
17073,Henry,lung-bronch_cancer,49.0
17075,Iroquois,lung-bronch_cancer,34.0
17077,Jackson,lung-bronch_cancer,47.0
17079,Jasper,lung-bronch_cancer,9.0
17081,Jefferson,lung-bronch_cancer,43.0
17083,Jersey,lung-bronch_cancer,22.0
17085,Jo Daviess,lung-bronch_cancer,21.0
17087,Johnson,lung-bronch_cancer,18.0
17089,Kane,lung-bronch_cancer,272.0
17091,Kankakee,lung-bronch_cancer,109.0
17093,Kendall,lung-bronch_cancer,56.0
17095,Knox,lung-bronch_cancer,60.0
17097,Lake,lung-bronch_cancer,402.0
17099,La Salle,lung-bronch_cancer,127.0
17101,Lawrence,lung-bronch_cancer,16.0
17103,Lee,lung-bronch_cancer,34.0
17105,Livingston,lung-bronch_cancer,39.0
17107,Logan,lung-bronch_cancer,41.0
17109,McDonough,lung-bronch_cancer,26.0
17111,McHenry,lung-bronch_cancer,209.0
17113,McLean,lung-bronch_cancer,101.0
17115,Macon,lung-bronch_cancer,142.0
17117,Macoupin,lung-bronch_cancer,62.0
17119,Madison,lung-bronch_cancer,286.0
17121,Marion,lung-bronch_cancer,53.0
17123,Marshall,lung-bronch_cancer,16.0
17125,Mason,lung-bronch_cancer,24.0
17127,Massac,lung-bronch_cancer,20.0
17129,Menard,lung-bronch_cancer,12.0
17131,Mercer,lung-bronch_cancer,23.0
17133,Monroe,lung-bronch_cancer,24.0
17135,Montgomery,lung-bronch_cancer,36.0
17137,Morgan,lung-bronch_cancer,44.0
17139,Moultrie,lung-bronch_cancer,14.0
17141,Ogle,lung-bronch_cancer,47.0
17143,Peoria,lung-bronch_cancer,194.0
17145,Perry,lung-bronch_cancer,25.0
17147,Piatt,lung-bronch_cancer,15.0
17149,Pike,lung-bronch_cancer,23.0
17151,Pope,lung-bronch_cancer,6.0
17153,Pulaski,lung-bronch_cancer,9.0
17155,Putnam,lung-bronch_cancer,8.0
17157,Randolph,lung-bronch_cancer,36.0
17159,Richland,lung-bronch_cancer,17.0
17161,Rock Island,lung-bronch_cancer,138.0
17163,St. Clair,lung-bronch_cancer,239.0
17165,Saline,lung-bronch_cancer,29.0
17167,Sangamon,lung-bronch_cancer,209.0
17169,Schuyler,lung-bronch_cancer,9.0
17171,Scott,lung-bronch_cancer,6.0
17173,Shelby,lung-bronch_cancer,27.0
17175,Stark,lung-bronch_cancer,8.0
17177,Stephenson,lung-bronch_cancer,42.0
17179,Tazewell,lung-bronch_cancer,145.0
17181,Union,lung-bronch_cancer,22.0
17183,Vermilion,lung-bronch_cancer,104.0
17185,Wabash,lung-bronch_cancer,12.0
17187,Warren,lung-bronch_cancer,22.0
17189,Washington,lung-bronch_cancer,13.0
17191,Wayne,lung-bronch_cancer,18.0
17193,White,lung-bronch_cancer,16.0
17195,Whiteside,lung-bronch_cancer,58.0
17197,Will,lung-bronch_cancer,425.0
17199,Williamson,lung-bronch_cancer,76.0
17201,Winnebago,lung-bronch_cancer,243.0
17203,Woodford,lung-bronch_cancer,32.0
17001,Adams,breast_cancer,62.0
17003,Alexander,breast_cancer,4.0
17005,Bond,breast_cancer,15.0
17007,Boone,breast_cancer,37.0
17009,Brown,breast_cancer,
17011,Bureau,breast_cancer,34.0
17013,Calhoun,breast_cancer,7.0
17015,Carroll,breast_cancer,12.0
17017,Cass,breast_cancer,8.0
17019,Champaign,breast_cancer,137.0
17021,Christian,breast_cancer,30.0
17023,Clark,breast_cancer,10.0
17025,Clay,breast_cancer,12.0
17027,Clinton,breast_cancer,32.0
17029,Coles,breast_cancer,38.0
17031,Cook,breast_cancer,
17033,Crawford,breast_cancer,15.0
17035,Cumberland,breast_cancer,11.0
17037,DeKalb,breast_cancer,74.0
17039,De Witt,breast_cancer,13.0
17041,Douglas,breast_cancer,17.0
17043,DuPage,breast_cancer,849.0
17045,Edgar,breast_cancer,13.0
17047,Edwards,breast_cancer,5.0
17049,Effingham,breast_cancer,32.0
17051,Fayette,breast_cancer,19.0
17053,Ford,breast_cancer,13.0
17055,Franklin,breast_cancer,37.0
17057,Fulton,breast_cancer,36.0
17059,Gallatin,breast_cancer,5.0
17061,Greene,breast_cancer,13.0
17063,Grundy,breast_cancer,44.0
17065,Hamilton,breast_cancer,6.0
17067,Hancock,breast_cancer,14.0
17069,Hardin,breast_cancer,
17071,Henderson,breast_cancer,5.0
17073,Henry,breast_cancer,41.0
17075,Iroquois,breast_cancer,25.0
17077,Jackson,breast_cancer,41.0
17079,Jasper,breast_cancer,9.0
17081,Jefferson,breast_cancer,28.0
17083,Jersey,breast_cancer,20.0
17085,Jo Daviess,breast_cancer,24.0
