County,Deaths
Adams,4235
Alexander,278
Bond,1328
Boone,6464
Brown,317
Bureau,3766
Calhoun,52
Carroll,2228
Cass,2578
Champaign,6748
Christian,4572
Clark,1632
Clay,1620
Clinton,6968
Coles,7447
Cook,1268257
Crawford,1182
Cumberland,1361
De Witt,1151
DeKalb,7866
Douglas,1581
DuPage,140001
Edgar,1702
Edwards,204
Effingham,1969
Fayette,3110
Ford,2182
Franklin,2055
Fulton,897
Gallatin,374
Greene,2451
Grundy,2182
Hamilton,385
Hancock,1192
Hardin,140
Henderson,159
Henry,1966
Iroquois,3935
Jackson,5944
Jasper,2155
Jefferson,8576
Jersey,2776
Jo Daviess,1413
Johnson,438
Kane,79144
Kankakee,19426
Kendall,7545
Knox,4872
LaSalle,14547
Lake,117022
Lawrence,1148
Lee,2377
Livingston,2750
Logan,1548
Macon,13050
Macoupin,2718
Madison,32912
Marion,4131
Marshall,438
Mason,1515
Massac,720
McDonough,4768
McHenry,29118
McLean,6949
Menard,211
Mercer,1281
Monroe,5825
Montgomery,2113
Morgan,5254
Moultrie,1052
Ogle,3135
Peoria,14642
Perry,2878
Piatt,324
Pike,1707
Pope,128
Pulaski,197
Putnam,0
Randolph,3052
Richland,1899
Rock Island,19040
Saline,1959
Sangamon,14251
Schuyler,268
Scott,20
Shelby,2129
St. Clair,44705
Stark,552
Stephenson,3099
Tazewell,9908
Union,5118
Unknown,33084
Vermilion,3817
Wabash,703
Warren,1531
Washington,518
Wayne,2497
White,791
Whiteside,9928
Will,99787
Williamson,8393
Winnebago,38307
Woodford,2752
