County,Data_Value
Adams,4623.4
Alexander,6309.4
Bond,5276.4
Boone,5603.799999999999
Brown,2854.8
Bureau,5197.3
Calhoun,5625.2
Carroll,5157.7
Cass,5877.1
Champaign,5827.7
Christian,5683.3
Clark,5557.2
Clay,5636.5
Clinton,5735.2
Coles,5083.2
Cook,7906.8
Crawford,5598.1
Cumberland,4493.2
De Witt,5670.2
DeKalb,4671.7
Douglas,4822.5
DuPage,5853.1
Edgar,5754.2
Edwards,5817.1
Effingham,4759.8
Fayette,4715.1
Ford,5512.4
Franklin,4590.5
Fulton,5578.2
Gallatin,6343.6
Greene,5454.5
Grundy,4979.3
Hamilton,5775.700000000001
Hancock,4663.1
Hardin,6053.6
Henderson,5523.299999999999
Henry,5439.200000000001
Iroquois,5725.3
Jackson,5730.1
Jasper,5119.4
Jefferson,5726.0
Jersey,6088.0
Jo Daviess,4189.4
Johnson,4325.4
Kane,5931.2
Kankakee,8489.6
Kendall,5199.2
Knox,5858.5
LaSalle,6127.299999999999
Lake,5906.6
Lawrence,5168.5
Lee,5378.0
Livingston,5807.5
Logan,4824.2
Macon,5980.1
Macoupin,5507.3
Madison,7840.1
Marion,6574.4
Marshall,5657.8
Mason,4789.9
Massac,5045.4
McDonough,5128.2
McHenry,5428.700000000001
McLean,5984.2
Menard,3725.3
Mercer,5263.4
Monroe,4498.9
Montgomery,4858.2
Morgan,6935.4
Moultrie,5036.7
Ogle,4708.0
Peoria,7210.3
Perry,5300.200000000001
Piatt,4788.0
Pike,4377.2
Pope,4904.1
Pulaski,7029.9
Putnam,4748.799999999999
Randolph,5158.6
Richland,4983.8
Rock Island,7425.5
Saline,5344.4
Sangamon,5975.5
Schuyler,5373.3
Scott,3822.0
Shelby,4826.700000000001
St. Clair,7733.9
Stark,4904.9
Stephenson,4365.5
Tazewell,4850.0
Union,5499.7
Vermilion,7091.7
Wabash,4688.2
Warren,5911.8
Washington,5215.9
Wayne,5414.5
White,5563.9
Whiteside,6648.6
Will,7286.0
Williamson,4573.5
Winnebago,7910.4
Woodford,4652.7
