County,Total Direct Emissions,Asthma Incidence,COPD Deaths,COVID Deaths,Heart Failures,Stroke Deaths,Population
Washington,12496788.584,10.2,7.8,3.77,37.99,9.59,13731.0
Will,7492562.177,9.7,5.6,14.32,1.05,0.29,696909.0
Randolph,7029178.08,10.4,8.9,10.14,17.15,4.12,30084.0
Madison,6909256.722,10.5,7.2,12.38,2.95,0.87,265749.0
Massac,5808471.772,10.9,9.7,5.09,35.69,7.92,14137.0
Macon,5107753.892,10.8,8.5,12.58,5.76,1.4,103764.0
Christian,3925347.6840000004,10.3,8.6,13.45,16.72,2.62,33982.0
Tazewell,3849131.408,10.3,7.3,7.55,3.69,0.8,131296.0
Jasper,3692400.95,10.2,8.1,23.28,55.31,12.26,9255.0
Peoria,3605646.856,10.6,7.5,8.07,3.97,1.1,181512.0
Lake,3096236.638,9.1,5.4,16.4,0.83,0.22,713426.0
Kendall,2481234.314,9.5,4.7,5.7,3.93,1.29,132351.0
Cook,1959573.0820000002,9.8,5.7,24.08,0.15,0.04,5267072.0
Crawford,1845068.114,10.4,8.4,6.34,30.04,7.07,18637.0
Rock Island,1705965.6334000002,10.5,8.1,13.19,5.14,1.04,144360.0
Williamson,1424870.114,10.5,8.2,12.5,6.81,1.79,67121.0
Sangamon,1331872.7200000002,10.5,7.3,7.26,3.05,0.7,196223.0
Lee,1185666.83,10.2,8.4,6.98,15.79,3.57,34063.0
Grundy,1152136.698,10.1,6.4,4.15,9.48,2.15,52535.0
Shelby,866557.584,10.4,9.0,10.18,23.09,4.73,20907.0
