"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",
"17","Illinois","17001","Adams","2016","2020","23","",
"17","Illinois","17003","Alexander","2016","2020","Suppressed","",
"17","Illinois","17005","Bond","2016","2020","5","",
"17","Illinois","17007","Boone","2016","2020","12","",
"17","Illinois","17009","Brown","2016","2020","Suppressed","",
"17","Illinois","17011","Bureau","2016","2020","9","",
"17","Illinois","17013","Calhoun","2016","2020","Suppressed","",
"17","Illinois","17015","Carroll","2016","2020","6","",
"17","Illinois","17017","Cass","2016","2020","4","",
"17","Illinois","17019","Champaign","2016","2020","37","",
"17","Illinois","17021","Christian","2016","2020","12","",
"17","Illinois","17023","Clark","2016","2020","6","",
"17","Illinois","17025","Clay","2016","2020","4","",
"17","Illinois","17027","Clinton","2016","2020","11","",
"17","Illinois","17029","Coles","2016","2020","12","",
"17","Illinois","17031","Cook","2016","2020","1,022","",
"17","Illinois","17033","Crawford","2016","2020","5","",
"17","Illinois","17035","Cumberland","2016","2020","Suppressed","",
"17","Illinois","17039","De Witt","2016","2020","6","",
"17","Illinois","17037","DeKalb","2016","2020","23","",
"17","Illinois","17041","Douglas","2016","2020","5","",
"17","Illinois","17043","DuPage","2016","2020","234","",
"17","Illinois","17045","Edgar","2016","2020","8","",
"17","Illinois","17047","Edwards","2016","2020","Suppressed","",
"17","Illinois","17049","Effingham","2016","2020","11","",
"17","Illinois","17051","Fayette","2016","2020","6","",
"17","Illinois","17053","Ford","2016","2020","4","",
"17","Illinois","17055","Franklin","2016","2020","15","",
"17","Illinois","17057","Fulton","2016","2020","14","",
"17","Illinois","17059","Gallatin","2016","2020","Suppressed","",
"17","Illinois","17061","Greene","2016","2020","4","",
"17","Illinois","17063","Grundy","2016","2020","13","",
"17","Illinois","17065","Hamilton","2016","2020","Suppressed","",
"17","Illinois","17067","Hancock","2016","2020","7","",
"17","Illinois","17069","Hardin","2016","2020","Suppressed","",
"17","Illinois","17071","Henderson","2016","2020","Suppressed","",
"17","Illinois","17073","Henry","2016","2020","14","",
"17","Illinois","17075","Iroquois","2016","2020","8","",
"17","Illinois","17077","Jackson","2016","2020","16","",
"17","Illinois","17079","Jasper","2016","2020","Suppressed","",
"17","Illinois","17081","Jefferson","2016","2020","14","",
"17","Illinois","17083","Jersey","2016","2020","6","",
"17","Illinois","17085","Jo Daviess","2016","2020","11","",
"17","Illinois","17087","Johnson","2016","2020","5","",
"17","Illinois","17089","Kane","2016","2020","114","",
"17","Illinois","17091","Kankakee","2016","2020","37","",
"17","Illinois","17093","Kendall","2016","2020","29","",
"17","Illinois","17095","Knox","2016","2020","18","",
"17","Illinois","17099","La Salle","2016","2020","39","",
"17","Illinois","17097","Lake","2016","2020","164","",
"17","Illinois","17101","Lawrence","2016","2020","4","",
"17","Illinois","17103","Lee","2016","2020","11","",
"17","Illinois","17105","Livingston","2016","2020","12","",
"17","Illinois","17107","Logan","2016","2020","10","",
"17","Illinois","17115","Macon","2016","2020","41","",
"17","Illinois","17117","Macoupin","2016","2020","17","",
"17","Illinois","17119","Madison","2016","2020","77","",
"17","Illinois","17121","Marion","2016","2020","13","",
"17","Illinois","17123","Marshall","2016","2020","Suppressed","",
"17","Illinois","17125","Mason","2016","2020","5","",
"17","Illinois","17127","Massac","2016","2020","4","",
"17","Illinois","17109","McDonough","2016","2020","7","",
"17","Illinois","17111","McHenry","2016","2020","75","",
"17","Illinois","17113","McLean","2016","2020","38","",
"17","Illinois","17129","Menard","2016","2020","5","",
"17","Illinois","17131","Mercer","2016","2020","6","",
"17","Illinois","17133","Monroe","2016","2020","8","",
"17","Illinois","17135","Montgomery","2016","2020","10","",
"17","Illinois","17137","Morgan","2016","2020","12","",
"17","Illinois","17139","Moultrie","2016","2020","5","",
"17","Illinois","17141","Ogle","2016","2020","14","",
"17","Illinois","17143","Peoria","2016","2020","45","",
"17","Illinois","17145","Perry","2016","2020","8","",
"17","Illinois","17147","Piatt","2016","2020","4","",
"17","Illinois","17149","Pike","2016","2020","4","",
"17","Illinois","17151","Pope","2016","2020","Suppressed","",
"17","Illinois","17153","Pulaski","2016","2020","Suppressed","",
"17","Illinois","17155","Putnam","2016","2020","Suppressed","",
"17","Illinois","17157","Randolph","2016","2020","7","",
"17","Illinois","17159","Richland","2016","2020","Suppressed","",
"17","Illinois","17161","Rock Island","2016","2020","39","",
"17","Illinois","17165","Saline","2016","2020","8","",
"17","Illinois","17167","Sangamon","2016","2020","57","",
"17","Illinois","17169","Schuyler","2016","2020","Suppressed","",
"17","Illinois","17171","Scott","2016","2020","Suppressed","",
"17","Illinois","17173","Shelby","2016","2020","7","",
"17","Illinois","17163","St. Clair","2016","2020","65","",
"17","Illinois","17175","Stark","2016","2020","Suppressed","",
"17","Illinois","17177","Stephenson","2016","2020","12","",
"17","Illinois","17179","Tazewell","2016","2020","43","",
"17","Illinois","17181","Union","2016","2020","8","",
"17","Illinois","17183","Vermilion","2016","2020","26","",
"17","Illinois","17185","Wabash","2016","2020","Suppressed","",
"17","Illinois","17187","Warren","2016","2020","5","",
"17","Illinois","17189","Washington","2016","2020","4","",
"17","Illinois","17191","Wayne","2016","2020","5","",
"17","Illinois","17193","White","2016","2020","7","",
"17","Illinois","17195","Whiteside","2016","2020","24","",
"17","Illinois","17197","Will","2016","2020","162","",
"17","Illinois","17199","Williamson","2016","2020","21","",
"17","Illinois","17201","Winnebago","2016","2020","76","",
"17","Illinois","17203","Woodford","2016","2020","11","",
