"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"17","Illinois","17001","Adams","2023","8.1%","","(6.5% - 9.7%)","6.5%","9.7%",
"17","Illinois","17003","Alexander","2023","12.1%","","(10.3% - 14.0%)","10.3%","14.0%",
"17","Illinois","17005","Bond","2023","8.0%","","(6.6% - 9.5%)","6.6%","9.5%",
"17","Illinois","17007","Boone","2023","7.4%","","(6.0% - 8.9%)","6.0%","8.9%",
"17","Illinois","17009","Brown","2023","8.0%","","(6.8% - 9.3%)","6.8%","9.3%",
"17","Illinois","17011","Bureau","2023","8.9%","","(7.3% - 10.6%)","7.3%","10.6%",
"17","Illinois","17013","Calhoun","2023","7.8%","","(6.4% - 9.3%)","6.4%","9.3%",
"17","Illinois","17015","Carroll","2023","9.0%","","(7.4% - 10.8%)","7.4%","10.8%",
"17","Illinois","17017","Cass","2023","8.6%","","(7.0% - 10.3%)","7.0%","10.3%",
"17","Illinois","17019","Champaign","2023","5.6%","","(4.7% - 6.6%)","4.7%","6.6%",
"17","Illinois","17021","Christian","2023","8.6%","","(7.1% - 10.1%)","7.1%","10.1%",
"17","Illinois","17023","Clark","2023","8.3%","","(6.8% - 9.9%)","6.8%","9.9%",
"17","Illinois","17025","Clay","2023","10.3%","","(8.5% - 12.2%)","8.5%","12.2%",
"17","Illinois","17027","Clinton","2023","7.4%","","(6.0% - 8.9%)","6.0%","8.9%",
"17","Illinois","17029","Coles","2023","8.2%","","(6.7% - 9.8%)","6.7%","9.8%",
"17","Illinois","17031","Cook","2023","5.7%","","(4.8% - 6.6%)","4.8%","6.6%",
"17","Illinois","17033","Crawford","2023","8.4%","","(6.9% - 10.0%)","6.9%","10.0%",
"17","Illinois","17035","Cumberland","2023","8.1%","","(6.7% - 9.7%)","6.7%","9.7%",
"17","Illinois","17039","De Witt","2023","8.4%","","(7.0% - 9.9%)","7.0%","9.9%",
"17","Illinois","17037","DeKalb","2023","6.3%","","(5.2% - 7.6%)","5.2%","7.6%",
"17","Illinois","17041","Douglas","2023","8.0%","","(6.6% - 9.6%)","6.6%","9.6%",
"17","Illinois","17043","DuPage","2023","5.0%","","(4.1% - 6.2%)","4.1%","6.2%",
"17","Illinois","17045","Edgar","2023","9.8%","","(8.1% - 11.6%)","8.1%","11.6%",
"17","Illinois","17047","Edwards","2023","10.3%","","(8.6% - 12.3%)","8.6%","12.3%",
"17","Illinois","17049","Effingham","2023","7.7%","","(6.3% - 9.2%)","6.3%","9.2%",
"17","Illinois","17051","Fayette","2023","9.2%","","(7.5% - 10.8%)","7.5%","10.8%",
"17","Illinois","17053","Ford","2023","8.7%","","(7.3% - 10.3%)","7.3%","10.3%",
"17","Illinois","17055","Franklin","2023","10.2%","","(8.4% - 12.2%)","8.4%","12.2%",
"17","Illinois","17057","Fulton","2023","9.2%","","(7.6% - 11.0%)","7.6%","11.0%",
"17","Illinois","17059","Gallatin","2023","10.9%","","(9.0% - 13.1%)","9.0%","13.1%",
"17","Illinois","17061","Greene","2023","9.7%","","(8.1% - 11.6%)","8.1%","11.6%",
"17","Illinois","17063","Grundy","2023","6.4%","","(5.3% - 7.6%)","5.3%","7.6%",
"17","Illinois","17065","Hamilton","2023","10.1%","","(8.3% - 12.1%)","8.3%","12.1%",
"17","Illinois","17067","Hancock","2023","9.0%","","(7.4% - 10.8%)","7.4%","10.8%",
"17","Illinois","17069","Hardin","2023","10.5%","","(8.8% - 12.3%)","8.8%","12.3%",
"17","Illinois","17071","Henderson","2023","9.6%","","(7.8% - 11.6%)","7.8%","11.6%",
"17","Illinois","17073","Henry","2023","7.8%","","(6.4% - 9.3%)","6.4%","9.3%",
"17","Illinois","17075","Iroquois","2023","9.7%","","(8.0% - 11.5%)","8.0%","11.5%",
"17","Illinois","17077","Jackson","2023","7.7%","","(6.3% - 9.0%)","6.3%","9.0%",
"17","Illinois","17079","Jasper","2023","8.1%","","(6.7% - 9.8%)","6.7%","9.8%",
"17","Illinois","17081","Jefferson","2023","8.8%","","(7.3% - 10.4%)","7.3%","10.4%",
"17","Illinois","17083","Jersey","2023","7.9%","","(6.5% - 9.4%)","6.5%","9.4%",
"17","Illinois","17085","Jo Daviess","2023","8.6%","","(6.9% - 10.4%)","6.9%","10.4%",
"17","Illinois","17087","Johnson","2023","8.9%","","(7.3% - 10.5%)","7.3%","10.5%",
"17","Illinois","17089","Kane","2023","5.7%","","(4.6% - 7.0%)","4.6%","7.0%",
"17","Illinois","17091","Kankakee","2023","7.9%","","(6.7% - 9.3%)","6.7%","9.3%",
"17","Illinois","17093","Kendall","2023","4.7%","","(3.9% - 5.5%)","3.9%","5.5%",
"17","Illinois","17095","Knox","2023","9.4%","","(7.8% - 11.1%)","7.8%","11.1%",
"17","Illinois","17099","La Salle","2023","8.2%","","(6.8% - 9.7%)","6.8%","9.7%",
"17","Illinois","17097","Lake","2023","5.4%","","(4.3% - 6.7%)","4.3%","6.7%",
