"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"17","Illinois","17001","Adams","2023","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17003","Alexander","2023","11.7%","","(10.2% - 13.3%)","10.2%","13.3%",
"17","Illinois","17005","Bond","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17007","Boone","2023","10.0%","","(8.8% - 11.4%)","8.8%","11.4%",
"17","Illinois","17009","Brown","2023","10.0%","","(9.1% - 10.9%)","9.1%","10.9%",
"17","Illinois","17011","Bureau","2023","10.2%","","(8.9% - 11.6%)","8.9%","11.6%",
"17","Illinois","17013","Calhoun","2023","10.1%","","(8.8% - 11.5%)","8.8%","11.5%",
"17","Illinois","17015","Carroll","2023","10.1%","","(8.8% - 11.5%)","8.8%","11.5%",
"17","Illinois","17017","Cass","2023","10.2%","","(8.9% - 11.5%)","8.9%","11.5%",
"17","Illinois","17019","Champaign","2023","10.1%","","(8.9% - 11.5%)","8.9%","11.5%",
"17","Illinois","17021","Christian","2023","10.3%","","(9.1% - 11.7%)","9.1%","11.7%",
"17","Illinois","17023","Clark","2023","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17025","Clay","2023","10.8%","","(9.4% - 12.3%)","9.4%","12.3%",
"17","Illinois","17027","Clinton","2023","10.3%","","(9.1% - 11.7%)","9.1%","11.7%",
"17","Illinois","17029","Coles","2023","10.8%","","(9.4% - 12.2%)","9.4%","12.2%",
"17","Illinois","17031","Cook","2023","9.8%","","(8.8% - 11.0%)","8.8%","11.0%",
"17","Illinois","17033","Crawford","2023","10.4%","","(9.1% - 11.7%)","9.1%","11.7%",
"17","Illinois","17035","Cumberland","2023","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17039","De Witt","2023","10.4%","","(9.1% - 11.8%)","9.1%","11.8%",
"17","Illinois","17037","DeKalb","2023","10.4%","","(9.1% - 12.0%)","9.1%","12.0%",
"17","Illinois","17041","Douglas","2023","10.4%","","(9.1% - 11.8%)","9.1%","11.8%",
"17","Illinois","17043","DuPage","2023","8.9%","","(7.7% - 10.2%)","7.7%","10.2%",
"17","Illinois","17045","Edgar","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17047","Edwards","2023","10.8%","","(9.4% - 12.4%)","9.4%","12.4%",
"17","Illinois","17049","Effingham","2023","10.2%","","(9.0% - 11.6%)","9.0%","11.6%",
"17","Illinois","17051","Fayette","2023","10.4%","","(9.2% - 11.8%)","9.2%","11.8%",
"17","Illinois","17053","Ford","2023","10.6%","","(9.1% - 12.0%)","9.1%","12.0%",
"17","Illinois","17055","Franklin","2023","10.9%","","(9.5% - 12.5%)","9.5%","12.5%",
"17","Illinois","17057","Fulton","2023","10.5%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17059","Gallatin","2023","10.8%","","(9.4% - 12.2%)","9.4%","12.2%",
"17","Illinois","17061","Greene","2023","10.7%","","(9.4% - 12.2%)","9.4%","12.2%",
"17","Illinois","17063","Grundy","2023","10.1%","","(8.8% - 11.4%)","8.8%","11.4%",
"17","Illinois","17065","Hamilton","2023","10.7%","","(9.4% - 12.3%)","9.4%","12.3%",
"17","Illinois","17067","Hancock","2023","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17069","Hardin","2023","10.6%","","(9.4% - 12.1%)","9.4%","12.1%",
"17","Illinois","17071","Henderson","2023","10.2%","","(8.9% - 11.6%)","8.9%","11.6%",
"17","Illinois","17073","Henry","2023","10.2%","","(8.9% - 11.6%)","8.9%","11.6%",
"17","Illinois","17075","Iroquois","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17077","Jackson","2023","10.8%","","(9.5% - 12.4%)","9.5%","12.4%",
"17","Illinois","17079","Jasper","2023","10.2%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17081","Jefferson","2023","10.6%","","(9.3% - 12.0%)","9.3%","12.0%",
"17","Illinois","17083","Jersey","2023","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17085","Jo Daviess","2023","9.9%","","(8.7% - 11.3%)","8.7%","11.3%",
"17","Illinois","17087","Johnson","2023","10.2%","","(8.9% - 11.6%)","8.9%","11.6%",
"17","Illinois","17089","Kane","2023","9.3%","","(8.1% - 10.6%)","8.1%","10.6%",
"17","Illinois","17091","Kankakee","2023","10.7%","","(9.6% - 12.2%)","9.6%","12.2%",
"17","Illinois","17093","Kendall","2023","9.5%","","(8.4% - 10.9%)","8.4%","10.9%",
"17","Illinois","17095","Knox","2023","10.6%","","(9.3% - 11.9%)","9.3%","11.9%",
"17","Illinois","17099","La Salle","2023","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17097","Lake","2023","9.1%","","(7.9% - 10.5%)","7.9%","10.5%",
"17","Illinois","17101","Lawrence","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17103","Lee","2023","10.2%","","(8.8% - 11.6%)","8.8%","11.6%",
"17","Illinois","17105","Livingston","2023","10.5%","","(9.1% - 12.0%)","9.1%","12.0%",
"17","Illinois","17107","Logan","2023","10.4%","","(9.1% - 11.9%)","9.1%","11.9%",
"17","Illinois","17115","Macon","2023","10.8%","","(9.5% - 12.3%)","9.5%","12.3%",
"17","Illinois","17117","Macoupin","2023","10.6%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17119","Madison","2023","10.5%","","(9.3% - 12.0%)","9.3%","12.0%",
"17","Illinois","17121","Marion","2023","10.8%","","(9.4% - 12.3%)","9.4%","12.3%",
"17","Illinois","17123","Marshall","2023","10.4%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17125","Mason","2023","10.5%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17127","Massac","2023","10.9%","","(9.6% - 12.4%)","9.6%","12.4%",
"17","Illinois","17109","McDonough","2023","10.6%","","(9.2% - 12.2%)","9.2%","12.2%",
"17","Illinois","17111","McHenry","2023","9.6%","","(8.4% - 11.0%)","8.4%","11.0%",
"17","Illinois","17113","McLean","2023","10.3%","","(9.0% - 11.6%)","9.0%","11.6%",
"17","Illinois","17129","Menard","2023","10.4%","","(9.1% - 11.7%)","9.1%","11.7%",
"17","Illinois","17131","Mercer","2023","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17133","Monroe","2023","9.9%","","(8.7% - 11.3%)","8.7%","11.3%",
"17","Illinois","17135","Montgomery","2023","10.3%","","(9.0% - 11.9%)","9.0%","11.9%",
"17","Illinois","17137","Morgan","2023","10.5%","","(9.1% - 11.9%)","9.1%","11.9%",
"17","Illinois","17139","Moultrie","2023","10.7%","","(9.3% - 12.3%)","9.3%","12.3%",
"17","Illinois","17141","Ogle","2023","10.1%","","(8.8% - 11.5%)","8.8%","11.5%",
"17","Illinois","17143","Peoria","2023","10.6%","","(9.3% - 11.9%)","9.3%","11.9%",
"17","Illinois","17145","Perry","2023","10.5%","","(9.6% - 11.5%)","9.6%","11.5%",
"17","Illinois","17147","Piatt","2023","10.0%","","(8.8% - 11.4%)","8.8%","11.4%",
"17","Illinois","17149","Pike","2023","10.6%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17151","Pope","2023","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"17","Illinois","17153","Pulaski","2023","11.6%","","(10.1% - 13.1%)","10.1%","13.1%",
"17","Illinois","17155","Putnam","2023","9.9%","","(8.6% - 11.2%)","8.6%","11.2%",
"17","Illinois","17157","Randolph","2023","10.4%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17159","Richland","2023","10.5%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17161","Rock Island","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17165","Saline","2023","10.9%","","(9.5% - 12.4%)","9.5%","12.4%",
"17","Illinois","17167","Sangamon","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17169","Schuyler","2023","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17171","Scott","2023","10.4%","","(9.1% - 11.8%)","9.1%","11.8%",
"17","Illinois","17173","Shelby","2023","10.4%","","(9.1% - 11.8%)","9.1%","11.8%",
"17","Illinois","17163","St. Clair","2023","11.1%","","(9.7% - 12.6%)","9.7%","12.6%",
"17","Illinois","17175","Stark","2023","10.3%","","(8.9% - 11.7%)","8.9%","11.7%",
"17","Illinois","17177","Stephenson","2023","10.6%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17179","Tazewell","2023","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17181","Union","2023","10.7%","","(9.3% - 12.1%)","9.3%","12.1%",
"17","Illinois","17183","Vermilion","2023","10.9%","","(9.6% - 12.3%)","9.6%","12.3%",
"17","Illinois","17185","Wabash","2023","10.6%","","(9.2% - 12.0%)","9.2%","12.0%",
"17","Illinois","17187","Warren","2023","10.4%","","(9.0% - 11.8%)","9.0%","11.8%",
"17","Illinois","17189","Washington","2023","10.2%","","(8.8% - 11.6%)","8.8%","11.6%",
"17","Illinois","17191","Wayne","2023","10.7%","","(9.4% - 12.2%)","9.4%","12.2%",
"17","Illinois","17193","White","2023","10.9%","","(9.6% - 12.5%)","9.6%","12.5%",
"17","Illinois","17195","Whiteside","2023","10.2%","","(8.9% - 11.7%)","8.9%","11.7%",
"17","Illinois","17197","Will","2023","9.7%","","(8.6% - 11.0%)","8.6%","11.0%",
"17","Illinois","17199","Williamson","2023","10.5%","","(9.2% - 11.9%)","9.2%","11.9%",
"17","Illinois","17201","Winnebago","2023","10.6%","","(9.3% - 12.1%)","9.3%","12.1%",
"17","Illinois","17203","Woodford","2023","10.1%","","(8.8% - 11.4%)","8.8%","11.4%",
