"Year","LocationAbbr","LocationDesc","GeographicLevel","DataSource","Class","Topic","Data_Value","Data_Value_Unit","Data_Value_Type","Data_Value_Footnote_Symbol","Data_Value_Footnote","Confidence_limit_Low","Confidence_limit_High","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","LocationID"
"2019","IL","Brown","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17009"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Asian/Pacific Islander","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Black (Non-Hispanic)","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 65 years and older","Race","Hispanic","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All heart disease","1210.1","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1080.8","1385.1","Age group","Ages 65 years and older","Race","White","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","All stroke","264.5","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","209.3","355.3","Age group","Ages 65 years and older","Race","White","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","688.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","569.1","808.6","Age group","Ages 65 years and older","Race","White","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","1559","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","1318.6","1740.6","Age group","Ages 65 years and older","Race","White","Sex","Overall","17005"
"2019","IL","Bond","County","NVSS","Cardiovascular Diseases","Heart failure","511.5","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","382.7","603.5","Age group","Ages 65 years and older","Race","White","Sex","Overall","17005"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","81","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","68.5","94.4","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","11.6","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","9.3","14.6","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","41.9","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","30.3","52.3","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","100.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","81.8","114.6","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","12.4","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","8.3","16.5","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","47.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","39.5","57.7","Age group","Ages 35-64 years","Race","Overall","Sex","Women","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","9.1","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","7","11.6","Age group","Ages 35-64 years","Race","Overall","Sex","Women","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","19","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","14.2","25.4","Age group","Ages 35-64 years","Race","Overall","Sex","Women","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","60","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","49.5","71.8","Age group","Ages 35-64 years","Race","Overall","Sex","Women","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","8.6","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","6.5","11.1","Age group","Ages 35-64 years","Race","Overall","Sex","Women","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","110.6","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","95.2","127.7","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","13.1","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","10","17.3","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","65.5","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","50.6","81.3","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","138.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","118.2","162.3","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","16.4","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","11.5","22.6","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","Asian/Pacific Islander","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","187","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","136","247.3","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All stroke","36.2","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","26","49.8","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","84","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","54.2","113.8","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","233.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","189.5","282.1","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","Heart failure","46.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","28.2","74.8","Age group","Ages 35-64 years","Race","Black (Non-Hispanic)","Sex","Overall","17007"
"2019","IL","Boone","County","NVSS","Cardiovascular Diseases","All heart disease","45.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","37.2","58.6","Age group","Ages 35-64 years","Race","Hispanic","Sex","Overall","17007"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","18.8","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","14.2","24.1","Age group","Ages 35-64 years","Race","Overall","Sex","Men","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Heart failure","NA","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","~","Value suppressed","NA","NA","Age group","Ages 35-64 years","Race","American Indian/Alaska Native","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All heart disease","105.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","88.2","119.1","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","All stroke","16.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","11.7","20.7","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Coronary heart disease (CHD)","61.3","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","48.6","75.1","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17001"
"2019","IL","Adams","County","NVSS","Cardiovascular Diseases","Cardiovascular disease (CVD)","134.7","per 100,000","Age-Standardized, Spatiotemporally Smoothed Rate","NA","NA","114.2","157.2","Age group","Ages 35-64 years","Race","Overall","Sex","Overall","17001"
