Date,County,State,FIPS,Case,Deaths
1/24/2020,Cook,Illinois,17031,1,0
1/25/2020,Cook,Illinois,17031,1,0
1/26/2020,Cook,Illinois,17031,1,0
1/27/2020,Cook,Illinois,17031,1,0
1/28/2020,Cook,Illinois,17031,1,0
1/29/2020,Cook,Illinois,17031,1,0
1/30/2020,Cook,Illinois,17031,2,0
1/31/2020,Cook,Illinois,17031,2,0
2/1/2020,Cook,Illinois,17031,2,0
2/2/2020,Cook,Illinois,17031,2,0
2/3/2020,Cook,Illinois,17031,2,0
2/4/2020,Cook,Illinois,17031,2,0
2/5/2020,Cook,Illinois,17031,2,0
2/6/2020,Cook,Illinois,17031,2,0
2/7/2020,Cook,Illinois,17031,2,0
2/8/2020,Cook,Illinois,17031,2,0
2/9/2020,Cook,Illinois,17031,2,0
2/10/2020,Cook,Illinois,17031,2,0
2/11/2020,Cook,Illinois,17031,2,0
2/12/2020,Cook,Illinois,17031,2,0
2/13/2020,Cook,Illinois,17031,2,0
2/14/2020,Cook,Illinois,17031,2,0
2/15/2020,Cook,Illinois,17031,2,0
2/16/2020,Cook,Illinois,17031,2,0
2/17/2020,Cook,Illinois,17031,2,0
2/18/2020,Cook,Illinois,17031,2,0
2/19/2020,Cook,Illinois,17031,2,0
2/20/2020,Cook,Illinois,17031,2,0
2/21/2020,Cook,Illinois,17031,2,0
2/22/2020,Cook,Illinois,17031,2,0
2/23/2020,Cook,Illinois,17031,2,0
2/24/2020,Cook,Illinois,17031,2,0
2/25/2020,Cook,Illinois,17031,2,0
2/26/2020,Cook,Illinois,17031,2,0
2/27/2020,Cook,Illinois,17031,2,0
2/28/2020,Cook,Illinois,17031,2,0
2/29/2020,Cook,Illinois,17031,3,0
3/1/2020,Cook,Illinois,17031,3,0
3/2/2020,Cook,Illinois,17031,4,0
3/3/2020,Cook,Illinois,17031,4,0
3/4/2020,Cook,Illinois,17031,4,0
3/5/2020,Cook,Illinois,17031,5,0
3/6/2020,Cook,Illinois,17031,6,0
3/7/2020,Cook,Illinois,17031,6,0
3/8/2020,Cook,Illinois,17031,7,0
3/9/2020,Cook,Illinois,17031,11,0
3/10/2020,Cook,Illinois,17031,17,0
3/10/2020,Kane,Illinois,17089,1,0
3/10/2020,McHenry,Illinois,17111,1,0
3/11/2020,Cook,Illinois,17031,22,0
3/11/2020,Kane,Illinois,17089,1,0
3/11/2020,Lake,Illinois,17097,1,0
3/11/2020,McHenry,Illinois,17111,1,0
3/12/2020,Cook,Illinois,17031,27,0
3/12/2020,Kane,Illinois,17089,2,0
3/12/2020,Lake,Illinois,17097,1,0
3/12/2020,McHenry,Illinois,17111,2,0
3/13/2020,Cook,Illinois,17031,40,0
3/13/2020,Kane,Illinois,17089,2,0
3/13/2020,Lake,Illinois,17097,2,0
3/13/2020,McHenry,Illinois,17111,2,0
3/14/2020,Cook,Illinois,17031,51,0
3/14/2020,Cumberland,Illinois,17035,1,0
3/14/2020,DuPage,Illinois,17043,1,0
3/14/2020,Kane,Illinois,17089,3,0
3/14/2020,Lake,Illinois,17097,3,0
3/14/2020,McHenry,Illinois,17111,2,0
3/14/2020,Sangamon,Illinois,17167,2,0
3/14/2020,St. Clair,Illinois,17163,2,0
3/14/2020,Woodford,Illinois,17203,1,0
3/15/2020,Clinton,Illinois,17027,1,0
3/15/2020,Cook,Illinois,17031,76,0
3/15/2020,Cumberland,Illinois,17035,1,0
